Location,Measure,Initial_Match,Num_Matches_Found,+-250_Text,Weights_Matches,Weight Values,Weight Result
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Athens.txt,1. Restrict NONE permits?*1.0,growth management,0,[],[],[[]],[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Athens.txt,1. Restrict NONE permits?*1.0,growth control,0,[],[],"[[], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Athens.txt,1. Restrict NONE permits?*1.0,growth rate,0,[],[],"[[], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Athens.txt,1. Restrict NONE permits?*1.0,development approvals,0,[],[],"[[], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Athens.txt,2. Restrict number of NONE authorized for construction?*1.0,growth management,0,[],[],[[]],[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Athens.txt,2. Restrict number of NONE authorized for construction?*1.0,growth control,0,[],[],"[[], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Athens.txt,2. Restrict number of NONE authorized for construction?*1.0,growth rate,0,[],[],"[[], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Athens.txt,2. Restrict number of NONE authorized for construction?*1.0,development approvals,0,[],[],"[[], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Athens.txt,3. Restrict number of NONE?*1.0,growth management,0,[],[],[[]],[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Athens.txt,3. Restrict number of NONE?*1.0,growth control,0,[],[],"[[], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Athens.txt,3. Restrict number of NONE?*1.0,growth rate,0,[],[],"[[], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Athens.txt,3. Restrict number of NONE?*1.0,development approvals,0,[],[],"[[], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Athens.txt,4. Restrict number of NONE units?*1.0,growth management,0,[],[],[[]],[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Athens.txt,4. Restrict number of NONE units?*1.0,growth control,0,[],[],"[[], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Athens.txt,4. Restrict number of NONE units?*1.0,growth rate,0,[],[],"[[], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Athens.txt,4. Restrict number of NONE units?*1.0,development approvals,0,[],[],"[[], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Athens.txt,4. Restrict number of NONE units?*1.0,minimum additional lot area,0,[],[],"[[], [], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Bessemer.txt,1. Restrict NONE permits?*1.0,growth management,1,['ion and sediment controls and must be able to inspect and ensure that nonstructural bmps or other pollution control devices (silt fences erosion control fabric rock check devices etc.) and erosion control efforts such as grading mulching seeding and growth management or management strategies have been properly implemented and regularly maintained according to good engineering practices and the require of this permit. a professional engineer (pe) registered in the state of alabama must certify th'],[['growth management']],[[[3.0]]],[0]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Bessemer.txt,1. Restrict NONE permits?*1.0,growth control,0,[],[],"[[[3.0]], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Bessemer.txt,1. Restrict NONE permits?*1.0,growth rate,0,[],[],"[[[3.0]], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Bessemer.txt,1. Restrict NONE permits?*1.0,development approvals,0,[],[],"[[[3.0]], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Bessemer.txt,2. Restrict number of NONE authorized for construction?*1.0,growth management,1,['ion and sediment controls and must be able to inspect and ensure that nonstructural bmps or other pollution control devices (silt fences erosion control fabric rock check devices etc.) and erosion control efforts such as grading mulching seeding and growth management or management strategies have been properly implemented and regularly maintained according to good engineering practices and the require of this permit. a professional engineer (pe) registered in the state of alabama must certify th'],[['growth management']],[[[3.0]]],[0]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Bessemer.txt,2. Restrict number of NONE authorized for construction?*1.0,growth control,0,[],[],"[[[3.0]], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Bessemer.txt,2. Restrict number of NONE authorized for construction?*1.0,growth rate,0,[],[],"[[[3.0]], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Bessemer.txt,2. Restrict number of NONE authorized for construction?*1.0,development approvals,0,[],[],"[[[3.0]], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Bessemer.txt,3. Restrict number of NONE?*1.0,growth management,1,['ion and sediment controls and must be able to inspect and ensure that nonstructural bmps or other pollution control devices (silt fences erosion control fabric rock check devices etc.) and erosion control efforts such as grading mulching seeding and growth management or management strategies have been properly implemented and regularly maintained according to good engineering practices and the require of this permit. a professional engineer (pe) registered in the state of alabama must certify th'],[['growth management']],[[[3.0]]],[0]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Bessemer.txt,3. Restrict number of NONE?*1.0,growth control,0,[],[],"[[[3.0]], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Bessemer.txt,3. Restrict number of NONE?*1.0,growth rate,0,[],[],"[[[3.0]], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Bessemer.txt,3. Restrict number of NONE?*1.0,development approvals,0,[],[],"[[[3.0]], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Bessemer.txt,4. Restrict number of NONE units?*1.0,growth management,1,['ion and sediment controls and must be able to inspect and ensure that nonstructural bmps or other pollution control devices (silt fences erosion control fabric rock check devices etc.) and erosion control efforts such as grading mulching seeding and growth management or management strategies have been properly implemented and regularly maintained according to good engineering practices and the require of this permit. a professional engineer (pe) registered in the state of alabama must certify th'],[['growth management']],[[[3.0]]],[0]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Bessemer.txt,4. Restrict number of NONE units?*1.0,growth control,0,[],[],"[[[3.0]], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Bessemer.txt,4. Restrict number of NONE units?*1.0,growth rate,0,[],[],"[[[3.0]], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Bessemer.txt,4. Restrict number of NONE units?*1.0,development approvals,0,[],[],"[[[3.0]], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/33/AL_Bessemer.txt,4. Restrict number of NONE units?*1.0,minimum additional lot area,0,[],[],"[[[3.0]], [], [], [], []]",[]
