Location,Measure,Initial_Match,Num_Matches_Found,+-250_Text,Weights_Matches,Weight Values,Weight Result
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/AZ_OroValley.txt,1. Restrict NONE permits?*1.0,growth management,0,[],[],[[]],[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/AZ_OroValley.txt,1. Restrict NONE permits?*1.0,growth control,0,[],[],"[[], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/AZ_OroValley.txt,1. Restrict NONE permits?*1.0,growth rate,0,[],[],"[[], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/AZ_OroValley.txt,1. Restrict NONE permits?*1.0,development approvals,0,[],[],"[[], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/AZ_OroValley.txt,2. Restrict number of NONE authorized for construction?*1.0,growth management,0,[],[],[[]],[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/AZ_OroValley.txt,2. Restrict number of NONE authorized for construction?*1.0,growth control,0,[],[],"[[], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/AZ_OroValley.txt,2. Restrict number of NONE authorized for construction?*1.0,growth rate,0,[],[],"[[], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/AZ_OroValley.txt,2. Restrict number of NONE authorized for construction?*1.0,development approvals,0,[],[],"[[], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/AZ_OroValley.txt,3. Restrict number of NONE?*1.0,growth management,0,[],[],[[]],[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/AZ_OroValley.txt,3. Restrict number of NONE?*1.0,growth control,0,[],[],"[[], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/AZ_OroValley.txt,3. Restrict number of NONE?*1.0,growth rate,0,[],[],"[[], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/AZ_OroValley.txt,3. Restrict number of NONE?*1.0,development approvals,0,[],[],"[[], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/AZ_OroValley.txt,4. Restrict number of NONE units?*1.0,growth management,0,[],[],[[]],[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/AZ_OroValley.txt,4. Restrict number of NONE units?*1.0,growth control,0,[],[],"[[], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/AZ_OroValley.txt,4. Restrict number of NONE units?*1.0,growth rate,0,[],[],"[[], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/AZ_OroValley.txt,4. Restrict number of NONE units?*1.0,development approvals,0,[],[],"[[], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/AZ_OroValley.txt,4. Restrict number of NONE units?*1.0,minimum additional lot area,0,[],[],"[[], [], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/CO_Sheridan.txt,1. Restrict NONE permits?*1.0,growth management,0,[],[],[[]],[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/CO_Sheridan.txt,1. Restrict NONE permits?*1.0,growth control,0,[],[],"[[], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/CO_Sheridan.txt,1. Restrict NONE permits?*1.0,growth rate,0,[],[],"[[], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/CO_Sheridan.txt,1. Restrict NONE permits?*1.0,development approvals,0,[],[],"[[], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/CO_Sheridan.txt,2. Restrict number of NONE authorized for construction?*1.0,growth management,0,[],[],[[]],[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/CO_Sheridan.txt,2. Restrict number of NONE authorized for construction?*1.0,growth control,0,[],[],"[[], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/CO_Sheridan.txt,2. Restrict number of NONE authorized for construction?*1.0,growth rate,0,[],[],"[[], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/CO_Sheridan.txt,2. Restrict number of NONE authorized for construction?*1.0,development approvals,0,[],[],"[[], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/CO_Sheridan.txt,3. Restrict number of NONE?*1.0,growth management,0,[],[],[[]],[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/CO_Sheridan.txt,3. Restrict number of NONE?*1.0,growth control,0,[],[],"[[], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/CO_Sheridan.txt,3. Restrict number of NONE?*1.0,growth rate,0,[],[],"[[], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/CO_Sheridan.txt,3. Restrict number of NONE?*1.0,development approvals,0,[],[],"[[], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/CO_Sheridan.txt,4. Restrict number of NONE units?*1.0,growth management,0,[],[],[[]],[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/CO_Sheridan.txt,4. Restrict number of NONE units?*1.0,growth control,0,[],[],"[[], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/CO_Sheridan.txt,4. Restrict number of NONE units?*1.0,growth rate,0,[],[],"[[], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/CO_Sheridan.txt,4. Restrict number of NONE units?*1.0,development approvals,0,[],[],"[[], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/CO_Sheridan.txt,4. Restrict number of NONE units?*1.0,minimum additional lot area,0,[],[],"[[], [], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/FL_StPetersburg.txt,1. Restrict NONE permits?*1.0,growth management,1,[' the availability of affordable housing unit by combining local resources and cost-saving measures into a local housing partnership and using public funds to leverage private funds thereby reducing the cost of housing  (2) to assist in achieving the growth management goals contained in the adopted local comprehensive plan by allowing more efficient use of land so as to provide housing unit that are affordable to persons who have special housing needs very-low income low-income or moderate-income'],[['growth management']],[[[3.0]]],[0]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/FL_StPetersburg.txt,1. Restrict NONE permits?*1.0,growth control,0,[],[],"[[[3.0]], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/FL_StPetersburg.txt,1. Restrict NONE permits?*1.0,growth rate,0,[],[],"[[[3.0]], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/FL_StPetersburg.txt,1. Restrict NONE permits?*1.0,development approvals,0,[],[],"[[[3.0]], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/FL_StPetersburg.txt,2. Restrict number of NONE authorized for construction?*1.0,growth management,1,[' the availability of affordable housing unit by combining local resources and cost-saving measures into a local housing partnership and using public funds to leverage private funds thereby reducing the cost of housing  (2) to assist in achieving the growth management goals contained in the adopted local comprehensive plan by allowing more efficient use of land so as to provide housing unit that are affordable to persons who have special housing needs very-low income low-income or moderate-income'],"[['growth management', 'unit']]","[[[3.0, 1.0]]]",[0]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/FL_StPetersburg.txt,2. Restrict number of NONE authorized for construction?*1.0,growth control,0,[],[],"[[[3.0, 1.0]], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/FL_StPetersburg.txt,2. Restrict number of NONE authorized for construction?*1.0,growth rate,0,[],[],"[[[3.0, 1.0]], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/FL_StPetersburg.txt,2. Restrict number of NONE authorized for construction?*1.0,development approvals,0,[],[],"[[[3.0, 1.0]], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/FL_StPetersburg.txt,3. Restrict number of NONE?*1.0,growth management,1,[' the availability of affordable housing unit by combining local resources and cost-saving measures into a local housing partnership and using public funds to leverage private funds thereby reducing the cost of housing  (2) to assist in achieving the growth management goals contained in the adopted local comprehensive plan by allowing more efficient use of land so as to provide housing unit that are affordable to persons who have special housing needs very-low income low-income or moderate-income'],[['growth management']],[[[3.0]]],[0]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/FL_StPetersburg.txt,3. Restrict number of NONE?*1.0,growth control,0,[],[],"[[[3.0]], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/FL_StPetersburg.txt,3. Restrict number of NONE?*1.0,growth rate,0,[],[],"[[[3.0]], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/FL_StPetersburg.txt,3. Restrict number of NONE?*1.0,development approvals,0,[],[],"[[[3.0]], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/FL_StPetersburg.txt,4. Restrict number of NONE units?*1.0,growth management,1,[' the availability of affordable housing unit by combining local resources and cost-saving measures into a local housing partnership and using public funds to leverage private funds thereby reducing the cost of housing  (2) to assist in achieving the growth management goals contained in the adopted local comprehensive plan by allowing more efficient use of land so as to provide housing unit that are affordable to persons who have special housing needs very-low income low-income or moderate-income'],[['growth management']],[[[3.0]]],[0]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/FL_StPetersburg.txt,4. Restrict number of NONE units?*1.0,growth control,0,[],[],"[[[3.0]], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/FL_StPetersburg.txt,4. Restrict number of NONE units?*1.0,growth rate,0,[],[],"[[[3.0]], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/FL_StPetersburg.txt,4. Restrict number of NONE units?*1.0,development approvals,0,[],[],"[[[3.0]], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/FL_StPetersburg.txt,4. Restrict number of NONE units?*1.0,minimum additional lot area,0,[],[],"[[[3.0]], [], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/GA_SocialCircle.txt,1. Restrict NONE permits?*1.0,growth management,1,['r dangers and to prevent overcrowding of the land and undue congestion of population. 4. to protect the character and the social and economic stability of all parts of the city and to encourage the orderly and beneficial development of the community growth management techniques assuring the timing and sequencing of development promotion of infill development in existing neighborhoods and non-residential areas with adequate public facilities to assure proper urban form and open space separation o'],"[['growth management', 'population']]","[[[3.0, 1.0]]]",[0]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/GA_SocialCircle.txt,1. Restrict NONE permits?*1.0,growth control,0,[],[],"[[[3.0, 1.0]], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/GA_SocialCircle.txt,1. Restrict NONE permits?*1.0,growth rate,0,[],[],"[[[3.0, 1.0]], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/GA_SocialCircle.txt,1. Restrict NONE permits?*1.0,development approvals,0,[],[],"[[[3.0, 1.0]], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/GA_SocialCircle.txt,2. Restrict number of NONE authorized for construction?*1.0,growth management,1,['r dangers and to prevent overcrowding of the land and undue congestion of population. 4. to protect the character and the social and economic stability of all parts of the city and to encourage the orderly and beneficial development of the community growth management techniques assuring the timing and sequencing of development promotion of infill development in existing neighborhoods and non-residential areas with adequate public facilities to assure proper urban form and open space separation o'],"[['growth management', 'population']]","[[[3.0, 1.0]]]",[0]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/38/GA_SocialCircle.txt,2. Restrict number of NONE authorized for construction?*1.0,growth control,0,[],[],"[[[3.0, 1.0]], []]",[]
