Location,Measure,Initial_Match,Num_Matches_Found,+-250_Text,Weights_Matches,Weight Values,Weight Result
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/55/NY_NewYork.txt,1. Restrict NONE permits?*1.0,growth management,2,"['and other safeguards installed in accordance with .one- or two-family detached zero lot line or semi-detached dwellings of three stories in height and 2500 square feet (232 m2) or less in area located within zoning districts r-1 within lower density growth management areas as defined by the new york city zoning resolution may be constructed or reconstructed of construction type va where such buildings are equipped throughout with an automatic sprinkler system in accordance with or if damaged for', 'dings are equipped throughout with an automatic sprinkler system in accordance with in addition no portion of a one- or two- family detached zero lot line or semi-detached dwellings located within zoning districts r-1 r-2 or r-5 within lower density growth management areas shall exceed a maximum building height of 35 feet above the grade plane. d106: fire district maps for the boroughs of richmond and queens d106.1 fire district maps. within the boroughs of richmond and queens the fire districts']","[['growth management'], ['growth management', 'maximum']]","[[[3.0], [3.0, 2.0]]]","[0, 0]"
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/55/NY_NewYork.txt,1. Restrict NONE permits?*1.0,growth control,0,[],[],"[[[3.0], [3.0, 2.0]], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/55/NY_NewYork.txt,1. Restrict NONE permits?*1.0,growth rate,1,['ist way to the lowest recall level. alternatively engineering methods such as those specified in annex b shall be permitted to be used to select and place heat detectors to ensure response prior to any sprinkler head operation under a variety of the growth rate scenarios.  delete and replace with the following: pressure or water flow switches shall not be used to shut down elevator power. 21.6 delete and replace with the following: 21.6 occupant evacuation elevators.  elevator status. any elevat'],[['growth']],"[[[3.0], [3.0, 2.0]], [], [[1.5]]]",[0]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/55/NY_NewYork.txt,1. Restrict NONE permits?*1.0,development approvals,0,[],[],"[[[3.0], [3.0, 2.0]], [], [[1.5]], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/55/NY_NewYork.txt,2. Restrict number of NONE authorized for construction?*1.0,growth management,2,"['and other safeguards installed in accordance with .one- or two-family detached zero lot line or semi-detached dwellings of three stories in height and 2500 square feet (232 m2) or less in area located within zoning districts r-1 within lower density growth management areas as defined by the new york city zoning resolution may be constructed or reconstructed of construction type va where such buildings are equipped throughout with an automatic sprinkler system in accordance with or if damaged for', 'dings are equipped throughout with an automatic sprinkler system in accordance with in addition no portion of a one- or two- family detached zero lot line or semi-detached dwellings located within zoning districts r-1 r-2 or r-5 within lower density growth management areas shall exceed a maximum building height of 35 feet above the grade plane. d106: fire district maps for the boroughs of richmond and queens d106.1 fire district maps. within the boroughs of richmond and queens the fire districts']","[['growth management', 'construction'], ['growth management', 'maximum']]","[[[3.0, 1.0], [3.0, 2.0]]]","[0, 0]"
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/55/NY_NewYork.txt,2. Restrict number of NONE authorized for construction?*1.0,growth control,0,[],[],"[[[3.0, 1.0], [3.0, 2.0]], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/55/NY_NewYork.txt,2. Restrict number of NONE authorized for construction?*1.0,growth rate,1,['ist way to the lowest recall level. alternatively engineering methods such as those specified in annex b shall be permitted to be used to select and place heat detectors to ensure response prior to any sprinkler head operation under a variety of the growth rate scenarios.  delete and replace with the following: pressure or water flow switches shall not be used to shut down elevator power. 21.6 delete and replace with the following: 21.6 occupant evacuation elevators.  elevator status. any elevat'],[['growth']],"[[[3.0, 1.0], [3.0, 2.0]], [], [[1.5]]]",[0]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/55/NY_NewYork.txt,2. Restrict number of NONE authorized for construction?*1.0,development approvals,0,[],[],"[[[3.0, 1.0], [3.0, 2.0]], [], [[1.5]], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/55/NY_NewYork.txt,3. Restrict number of NONE?*1.0,growth management,2,"['and other safeguards installed in accordance with .one- or two-family detached zero lot line or semi-detached dwellings of three stories in height and 2500 square feet (232 m2) or less in area located within zoning districts r-1 within lower density growth management areas as defined by the new york city zoning resolution may be constructed or reconstructed of construction type va where such buildings are equipped throughout with an automatic sprinkler system in accordance with or if damaged for', 'dings are equipped throughout with an automatic sprinkler system in accordance with in addition no portion of a one- or two- family detached zero lot line or semi-detached dwellings located within zoning districts r-1 r-2 or r-5 within lower density growth management areas shall exceed a maximum building height of 35 feet above the grade plane. d106: fire district maps for the boroughs of richmond and queens d106.1 fire district maps. within the boroughs of richmond and queens the fire districts']","[['growth management', 'dwellings'], ['growth management', 'dwellings', 'maximum']]","[[[3.0, 1.0], [3.0, 1.0, 2.0]]]","[0, 1]"
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/55/NY_NewYork.txt,3. Restrict number of NONE?*1.0,growth control,0,[],[],"[[[3.0, 1.0], [3.0, 1.0, 2.0]], []]",[]
