Location,Measure,Initial_Match,Num_Matches_Found,+-250_Text,Weights_Matches,Weight Values,Weight Result
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/19/AK_Sitka.txt,1. Restrict NONE permits?*1.0,growth management,0,[],[],[[]],[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/19/AK_Sitka.txt,1. Restrict NONE permits?*1.0,growth control,0,[],[],"[[], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/19/AK_Sitka.txt,1. Restrict NONE permits?*1.0,growth rate,1,['utlined in of the home rule charter of the city and borough of sitka. the permanent fund investment policy embraces the total return concept. the following formula summarizes the factors involved in the permanent fund investment program: real assets growth rate equals total investment return less inflation less transfers to general fund. the primary objectives in priority order of investment activities shall be growth income and safety: a.growth. the permanent fund should provide for growth of t'],[['growth']],"[[], [], [[1.5]]]",[0]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/19/AK_Sitka.txt,1. Restrict NONE permits?*1.0,development approvals,0,[],[],"[[], [], [[1.5]], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/19/AK_Sitka.txt,2. Restrict number of NONE authorized for construction?*1.0,growth management,0,[],[],[[]],[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/19/AK_Sitka.txt,2. Restrict number of NONE authorized for construction?*1.0,growth control,0,[],[],"[[], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/19/AK_Sitka.txt,2. Restrict number of NONE authorized for construction?*1.0,growth rate,1,['utlined in of the home rule charter of the city and borough of sitka. the permanent fund investment policy embraces the total return concept. the following formula summarizes the factors involved in the permanent fund investment program: real assets growth rate equals total investment return less inflation less transfers to general fund. the primary objectives in priority order of investment activities shall be growth income and safety: a.growth. the permanent fund should provide for growth of t'],[['growth']],"[[], [], [[1.5]]]",[0]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/19/AK_Sitka.txt,2. Restrict number of NONE authorized for construction?*1.0,development approvals,0,[],[],"[[], [], [[1.5]], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/19/AK_Sitka.txt,3. Restrict number of NONE?*1.0,growth management,0,[],[],[[]],[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/19/AK_Sitka.txt,3. Restrict number of NONE?*1.0,growth control,0,[],[],"[[], []]",[]
