muni,restrict_sf_permit,restrict_mf_permit,limit_sf_units,limit_mf_units,limit_mf_dwellings,limit_mf_dwelling_units,min_lot_size,max_density,open_space,inclusionary,council_nz,planning_nz,countybrd_nz,pubhlth_nz,site_plan_nz,env_rev_nz,council_rz,planning_rz,zoning_rz,countybrd_rz,countyzone_rz,townmeet_rz,env_rev_rz,adu,half_acre_less,half_acre_more,one_acre_more,two_acre_more,max_den_cat1,max_den_cat2,max_den_cat3,max_den_cat4,max_den_cat5,height_ft_median,height_ft_mode,height_st_median,height_st_mode,parking_median,parking_mode,mf per,timestamp
OH_Minster,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,1.0,0.0,35.0,35.0,3.0,3.0,5.0,5.0,0.0,2024-06-28 17:16:54
OH_NewCarlisle,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.0,1.0,1.0,1.0,0.0,1.0,30.0,30.0,2.5,3.0,1.0,1.0,0.2857142857142857,2024-06-28 17:16:39
OK_Perry,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,1.0,0.0,35.0,25.0,1.0,1.0,2.0,1.0,0.0,2024-06-28 17:13:35
PA_BethelPark,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,1.0,0.0,35.0,35.0,3.0,4.0,2.0,1.0,0.375,2024-06-28 17:10:52
PA_Lewisburg,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,25.0,10.0,,,3.0,1.0,0.4,2024-06-28 17:08:19
PA_Manchester,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,35.0,35.0,3.0,3.0,2.0,2.0,0.0,2024-06-28 17:07:58
PA_Wormleysburg,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0.0,1.0,1.0,1.0,1.0,0.0,25.0,25.0,2.5,1.0,2.0,2.0,0.5,2024-06-28 17:04:14
TX_Atlanta,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,,,3.0,6.0,2.0,2.0,0.6,2024-06-28 17:00:18
TX_Gonzales,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,1.0,0.0,20.0,20.0,2.5,2.5,1.0,1.0,0.6,2024-06-28 16:58:05
TX_MarbleFalls,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.0,14.0,10.0,1.5,1.0,2.0,1.0,0.4375,2024-06-28 16:56:43
TX_Pflugerville,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0,17.5,20.0,1.0,1.0,2.0,2.0,0.5625,2024-06-28 16:56:06
