muni,restrict_sf_permit,restrict_mf_permit,limit_sf_units,limit_mf_units,limit_mf_dwellings,limit_mf_dwelling_units,min_lot_size,max_density,open_space,inclusionary,council_nz,planning_nz,countybrd_nz,pubhlth_nz,site_plan_nz,env_rev_nz,council_rz,planning_rz,zoning_rz,countybrd_rz,countyzone_rz,townmeet_rz,env_rev_rz,adu,half_acre_less,half_acre_more,one_acre_more,two_acre_more,max_den_cat1,max_den_cat2,max_den_cat3,max_den_cat4,max_den_cat5,height_ft_median,height_ft_mode,height_st_median,height_st_mode,parking_median,parking_mode,mf per,last_date,timestamp
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AK_Anchorage.txt,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,20,20,2,1,2,1,0.324324324,43634,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AK_Homer.txt,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,35,35,,,1,1,0.428571429,43577,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AK_Kenai.txt,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,35,35,10.5,10.5,2,2,0.384615385,43635,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AK_Palmer.txt,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,10,10,4,4,2,1,0.2,43669,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AK_Petersburg.txt,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,30,30,2.5,3,2,2,0.5,41275,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AK_Sitka.txt,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,16,16,1,1,2,2,0.4,43282,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AK_Yakutat.txt,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,35,35,1,1,2,2,0,42186,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Athens.txt,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,12,10,2,2,2,2,0.285714286,43409,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Auburn.txt,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,35,45,2,2,2,2,0.058823529,43557,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Bessemer.txt,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,35,35,,,4.25,1,0.285714286,42871,10/21/2022 2:01
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Birmingham.txt,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,45,45,3,3,3,1,0.428571429,43465,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Chickasaw.txt,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,35,35,3,3,1.5,2,0.666666667,42451,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Citronelle.txt,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,35,35,2,2,2,2,0,42817,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Clanton.txt,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,50,35,10.5,10.5,2,2,0,41834,10/21/2022 2:01
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Decatur.txt,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,35,35,3,3,1.5,1,0.384615385,43039,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Dothan.txt,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,20,20,3,3,1,1,0.272727273,42935,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Enterprise.txt,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,16,16,,,2,2,0.111111111,43466,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Eufaula.txt,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,40,45,2.25,2.5,1.5,1,0.5,43097,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Fairhope.txt,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,37.5,55,2.5,3,1,1,0.277777778,43626,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Foley.txt,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,50,50,2,2,2,2,0.3,43528,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Fultondale.txt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,30,35,2,1,1.2,1,0.625,27926,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Guntersville.txt,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,25,25,2,2,1,1,0.363636364,42996,10/21/2022 2:01
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Hartselle.txt,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,35,35,3,3,2,2,0.25,43443,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Huntsville.txt,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,30,30,2,2,1.5,1,0.285714286,43524,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Lincoln.txt,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,35,35,,,2,1,0.125,27926,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Madison.txt,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,35,35,2,2,1.5,2,0.428571429,43677,10/8/2022 13:10
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Mobile.txt,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,32,35,3,2,2,2,0.333333333,43452,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Monroeville.txt,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,35,35,2.5,2.5,2,2,0.571428571,43473,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_MountainBrook.txt,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,35,35,4,2.5,2,2,0.142857143,43347,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Oneonta.txt,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,259,18,2.5,6,1,1,0.363636364,43344,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Opelika.txt,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,30,30,2,2,2,2,0.25,44470,10/8/2022 12:02
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Opp.txt,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,55,65,3,3,2,1,0.666666667,41366,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Prattville.txt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,35,35,2,2,2,2,0.571428571,43586,4/27/2022 10:17
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_RainbowCity.txt,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,35,35,,,1,1,0.333333333,41694,4/27/2022 10:17
