"","GEOID","statename","place","type","restrict_sf_permit","restrict_mf_permit","limit_sf_units","limit_mf_units","limit_mf_dwellings","limit_mf_dwelling_units","min_lot_size","open_space","inclusionary","half_acre_less","half_acre_more","one_acre_more","two_acre_more","max_den_cat1","max_den_cat2","max_den_cat3","max_den_cat4","max_den_cat5","council_nz","planning_nz","countybrd_nz","pubhlth_nz","site_plan_nz","env_rev_nz","council_rz","planning_rz","zoning_rz","countybrd_rz","countyzone_rz","townmeet_rz","env_rev_rz","total_nz","total_rz","adu","height_ft_median","height_ft_mode","height_st_median","height_st_mode","parking_median","parking_mode","mf_per","timestamp.x","maxden5","maxden4","maxden3","maxden2","maxden1","sindex1","sindex2","sindex3","sindex4","sindex5","sindex6","sindex7","sindex8","height_st_median_sc","height_st_mode_sc","sindex9","sindex10","sindex11","sindex9_st","sindex10_st","zri","zri_st","add_index","zri_up","zri_up_st","wt_all_2019","st_wt_all_2019","wt_msa_2019","st_wt_msa_2019","wt_lmsa_2019","st_wt_lmsa_2019","timestamp.y"
"1","0102956","AL","Athens","City",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,2,1,12,10,2,2,2,2,0.285714285714286,"8/22/2019 15:49",0,1,0,0,0,0,0,1,2,2,2,0,1,28,28,12,2,0.285714285714286,-1.77518262932855,0.164805905663859,0.804928735323036,-1.23112566774583,8,0.881832597256841,-0.765642731760019,14.0229021770553,0.886636610408953,10.6401253388275,1.20622015771413,NA,NA,"8/22/2019 15:49"
"2","0103076","AL","Auburn","City",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,2,1,35,45,2,2,2,2,0.0588235294117647,"8/22/2019 15:50",0,0,1,0,0,0,1,4,2,2,3,0,1,28,28,35,2,0.0588235294117647,0.0490862965607648,0.164805905663859,2.152012403602,0.199852839987443,13,1.91977955353554,0.419003806562866,2.13285827592602,0.134855838568421,2.49126076507474,0.282422326548139,NA,NA,"8/22/2019 15:50"
"3","0105980","AL","Bessemer","City",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,3,3,0,35,35,NA,NA,4.25,1,0.285714285714286,"7/16/2019 14:21",1,0,0,0,0,0,1,1,3,3,1,0,0,NA,NA,35,4.25,0.285714285714286,0.0490862965607648,2.52108659960039,2.21705014643438,0.268941059506512,9,1.17429120926914,-0.43184910172209,10.1573703166546,0.642227712531781,6.96519847344891,0.789611262425183,NA,NA,"7/16/2019 14:21"
"4","0107000","AL","Birmingham","City",0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,3,3,0,45,45,3,3,3,1,0.428571428571429,"7/16/2019 14:21",0,1,0,0,0,0,1,1,3,3,2,0,0,42,42,45,3,0.428571428571429,0.842246699121338,1.21204176963565,1.87195774612693,-0.0976433031804399,10,1.01415639641467,-0.614616776472218,2.12079128469736,0.13409286981447,2.19401166796639,0.248724617040337,NA,NA,"7/16/2019 14:21"
"5","0114392","AL","Chickasaw","City",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,35,35,3,3,1.5,2,0.666666666666667,"10/18/2019 23:07",1,0,0,0,0,0,1,1,2,3,1,0,0,42,42,35,1.5,0.666666666666667,0.0490862965607648,-0.358812026322036,1.82120899112035,-0.151552632956087,8,1.15530787877028,-0.45351546590889,13.0940041055891,0.827904471576251,8.36965228903258,0.948827479244884,NA,NA,"10/18/2019 23:07"
"6","0115064","AL","Citronelle","City",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,35,35,2,2,2,2,0,"7/16/2019 14:21",0,1,0,0,0,0,1,1,2,3,2,0,0,28,28,35,2,0,0.0490862965607648,0.164805905663859,1.4761165908129,-0.518136995643039,9,0.745634087274201,-0.921091035162864,41.5271175199424,2.62566637441008,22.3383292401727,2.53238962522603,NA,NA,"7/16/2019 14:21"
"7","0115136","AL","Clanton","City",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,2,3,0,50,35,10.5,10.5,2,2,0,"7/16/2019 14:21",1,0,0,0,0,0,0,3,2,3,1,0,0,147,147,50,2,0,1.23882690040163,0.164805905663859,2.0900383878932,0.134019153034266,9,1.20002132113717,-0.402482391052786,18.6300829740091,1.17793830486391,13.9335769429282,1.5795830258023,NA,NA,"7/16/2019 14:21"
"8","0120104","AL","Decatur","City",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,35,35,3,3,1.5,1,0.384615384615385,"7/16/2019 14:21",0,1,0,0,0,0,0,1,2,1,2,0,1,42,42,35,1.5,0.384615384615385,0.0490862965607648,-0.358812026322036,0.649313669204027,-1.39643226327474,7,0.916207673426971,-0.72640920952346,11.543375933692,0.729861734846257,8.84185644754841,1.00235900790834,NA,NA,"7/16/2019 14:21"
"9","0121184","AL","Dothan","City",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,2,1,20,20,3,3,1,1,0.272727272727273,"7/16/2019 14:21",1,0,0,0,0,0,0,3,1,2,1,0,1,42,42,20,1,0.272727272727273,-1.1406543072801,-0.88242995830793,1.53858216646016,-0.451781134957245,8,1.55622038931817,0.00406053536739534,8.36305395719575,0.528777119005213,7.11338258765561,0.806410187242062,NA,NA,"7/16/2019 14:21"
"10","0124184","AL","Enterprise","City",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,2,2,0,16,16,NA,NA,2,2,0.111111111111111,"7/16/2019 14:21",1,0,0,0,0,0,0,3,2,2,1,0,0,NA,NA,16,2,0.111111111111111,-1.45791846830432,0.164805905663859,1.9344233217742,-0.0312874424946459,8,1.24252267241921,-0.353974056049982,8.05500384225559,0.509299802091918,NA,NA,NA,NA,"7/16/2019 14:21"
"11","0124568","AL","Eufaula","City",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,40,45,2.25,2.5,1.5,1,0.5,"8/22/2019 15:56",0,0,1,0,0,0,0,1,2,3,3,0,0,31.5,35,40,1.5,0.5,0.445666497841052,-0.358812026322036,0.615451401134596,-1.43240343490387,9,0.173008548320657,-1.57464934888313,11.6169807224426,0.73451560032886,NA,NA,NA,NA,"8/22/2019 15:56"
"12","0125240","AL","Fairhope","City",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,1,37.5,55,2.5,3,1,1,0.277777777777778,"8/22/2019 16:00",0,1,0,0,0,0,1,4,2,3,2,0,1,35,42,37.5,1,0.277777777777778,0.247376397200908,-0.88242995830793,2.65271987002846,0.731743798203306,13,2.28952075377303,0.841002859873915,9.45142892189995,0.597592623625808,7.14871983592171,0.810416202192016,NA,NA,"8/22/2019 16:00"
"13","0126992","AL","Foley","City",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,50,50,2,2,2,2,0.3,"7/16/2019 14:21",0,1,0,0,0,0,1,1,2,3,2,0,0,28,28,50,2,0.3,1.23882690040163,0.164805905663859,1.4761165908129,-0.518136995643039,9,0.784225407322061,-0.87704536074043,21.1047567640319,1.33440637070008,15.5434560870925,1.76208733034167,NA,NA,"7/16/2019 14:21"
"14","0128552","AL","Fultondale","City",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,30,35,2,1,1.2,1,0.625,"3/3/2021 14:29",1,0,0,0,0,0,0,1,0,3,1,0,0,28,14,30,1.2,0.625,-0.347493904719522,-0.672982785513573,0.513953891121434,-1.54022209445516,5,0.199912783615476,-1.54394256852655,20.3047569140331,1.28382417691632,14.8488685497129,1.6833452608449,NA,NA,"3/3/2021 14:29"
