muni,restrict_sf_permit,restrict_mf_permit,limit_sf_units,limit_mf_units,limit_mf_dwellings,limit_mf_dwelling_units,min_lot_size,max_density,open_space,inclusionary,council_nz,planning_nz,countybrd_nz,pubhlth_nz,site_plan_nz,env_rev_nz,council_rz,planning_rz,zoning_rz,countybrd_rz,countyzone_rz,townmeet_rz,env_rev_rz,adu,half_acre_less,half_acre_more,one_acre_more,two_acre_more,max_den_cat1,max_den_cat2,max_den_cat3,max_den_cat4,max_den_cat5,height_ft_median,height_ft_mode,height_st_median,height_st_mode,parking_median,parking_mode,mf per,last_date,timestamp
NJ_Rahway,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,50,75,3,3,1,0.5,0.777777778,43466,4/27/2022 10:22
NJ_Raritan,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,35,35,2.5,2,2,2,0.333333333,43697,4/27/2022 10:22
NJ_Ridgewood,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,37.5,30,2.25,2,1,1,0.526315789,44196,4/27/2022 10:22
NJ_RiverVale,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,32,35,2.5,2.5,2,2,0.5,43731,4/27/2022 10:22
NJ_RochellePark,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,15.5,10,2,2,2,1,0.8,43579,10/8/2022 2:09
NJ_Rutherford,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,10,10,1.5,2,1,1,0.285714286,43753,4/27/2022 10:22
NJ_Shrewsbury,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,25,10,2.5,35,1,1,0.2,44487,4/27/2022 10:22
NJ_SouthBoundBrook,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,31.5,35,2,2,1.75,2,0.4,43690,4/27/2022 10:22
NJ_SouthBrunswick,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,35,35,3,3,2,1,0.470588235,43522,4/27/2022 10:22
NJ_SouthRiver,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,27.5,10,3,3,1.5,2,0.333333333,44106,4/27/2022 10:22
NJ_Sparta,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,35,35,2.5,2.5,1,1,0.384615385,43655,4/27/2022 10:22
NJ_SpringLake,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,35,35,2,1.5,5,8,0.666666667,43613,4/27/2022 10:22
NJ_Springfield,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,35,40,2.75,2.5,2,1,0.545454545,44137,4/27/2022 10:22
NJ_Stratford,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,18.5,10,3.5,6,1,1,0.333333333,43445,4/27/2022 10:22
NJ_Trenton,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,35,35,2.5,4,1,1,0.3,43678,4/27/2022 10:22
NJ_Union,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,,1,1,1,1,1,33.5,35,3,3,1.1,1,0.333333333,43641,4/27/2022 10:22
