"","cbsa10","cbsaname10","responses","restrict_sf_permit","restrict_mf_permit","limit_sf_units","limit_mf_units","limit_mf_dwellings","limit_mf_dwelling_units","min_lot_size","open_space","inclusionary","half_acre_less","half_acre_more","one_acre_more","two_acre_more","total_nz","total_rz","maxden5","maxden4","maxden3","maxden2","maxden1","adu","height_ft_median","height_ft_mode","height_st_median","height_st_mode","parking_median","parking_mode","zri_median","zri_range","zri_median_up","zri_range_up","zri_median_st","zri_range_st","zri_median_up_st","zri_range_up_st","cc_zri","noncc_zri_max","zri_diff","zri_abs_diff","zri_full","zri_full_st"
"109","22500","Florence, SC Metropolitan Statistical Area",1,0,0,0,0,0,0,1,1,0,1,0,0,0,2,2,0,0,1,0,0,1,45,45,NA,NA,2,2,0.975409124386438,0,1.13334272512746,0.15793360074102,-1.41433314438804,-1.14634321855936,-0.657098651477439,-1.08210449565545,NA,NA,NA,NA,NA,NA
"110","22540","Fond du Lac, WI Metropolitan Statistical Area",1,0,0,0,0,0,0,1,1,0,1,0,0,0,2,3,1,0,0,0,0,0,12,12,1,1,1.5,1,1.82120899112035,0,1.11279385558539,0.708415135534957,-0.301342179360627,-1.14634321855936,-0.684089370758144,-0.488441057058495,NA,NA,NA,NA,NA,NA
"111","22660","Fort Collins-Loveland, CO Metropolitan Statistical Area",6,0,0,0,0,0,0,1,1,0.333333333333333,0.333333333333333,0,0.166666666666667,0.5,1.83333333333333,2.16666666666667,0.5,0.166666666666667,0.333333333333333,0,0,0.833333333333333,28.3,39.6,18.25,18.25,1.6,1.33333333333333,2.34078936980414,1.43371585534774,1.8900840194314,1.27193083157672,0.382375434965401,0.0193755347875223,0.336872905004471,0.119278992880579,NA,NA,NA,NA,NA,NA
"112","22900","Fort Smith, AR-OK Metropolitan Statistical Area",2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2.5,0,0.5,0,0.5,0,0,22.5,22.5,4.625,6.5,1.75,1.5,0.141802712761061,1.32625204512395,-0.130093011023683,0.933113018977939,-2.51127869973636,-0.0680006202690844,-2.31660791128614,-0.246117001302196,NA,NA,NA,NA,NA,NA
"113","23060","Fort Wayne, IN Metropolitan Statistical Area",1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,4,0,0,1,0,0,1,45,50,NA,NA,2,2,2.3435109017832,0,1.83963108134691,0.503879820436289,0.385956708293603,-1.14634321855936,0.270603513107397,-0.709020914512643,2.3435109017832,NA,NA,NA,NA,NA
"114","23420","Fresno, CA Metropolitan Statistical Area",6,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0.166666666666667,0.166666666666667,1,0.666666666666667,0.666666666666667,0.333333333333333,0.166666666666667,0.166666666666667,0.333333333333333,2.5,2,0.166666666666667,0.666666666666667,0,0.166666666666667,0,0.833333333333333,32.9166666666667,33.3333333333333,2.1,2,1.16666666666667,1,2.36066019809472,4.26022307128483,2.35954764116498,3.8926962611626,0.40852352652332,2.31753835121882,0.953508326275314,2.94562741393414,4.2304687479348,4.76716809906482,0.536699351130023,0.536699351130023,2.89735954922475,0.458855114380066
"115","23460","Gadsden, AL Metropolitan Statistical Area",2,0,0,0,0,0,0,1,0.5,0.5,0.5,0,0.5,0,2.5,3,0.5,0.5,0,0,0,0,32.25,40,3,3,1,1,2.21870375709769,2.5163199113113,1.49866996302172,1.58790572025179,0.221722555665698,0.899614004480692,-0.177245251103664,0.460040175708176,NA,NA,NA,NA,NA,NA
"116","23540","Gainesville, FL Metropolitan Statistical Area",1,0,0,0,0,0,0,1,1,1,0,0,0,1,2,2,0,1,0,0,0,1,54,18,3,3,2,1,2.97251618408471,0,2.73305552689274,0.239460657191967,1.21366693111436,-1.14634321855936,1.44410691965137,-0.99418214111276,2.97251618408471,NA,NA,NA,NA,NA
"117","23900","Gettysburg, PA Micropolitan Statistical Area",1,0,0,0,0,0,0,1,1,0,1,0,0,0,2,3,1,0,0,0,0,0,48,48,2,2,2,1,1.82120899112035,0,1.04194148688575,0.779267504234592,-0.301342179360627,-1.14634321855936,-0.7771531955116,-0.412030754121249,1.82120899112035,NA,NA,NA,NA,NA
"118","24020","Glens Falls, NY Metropolitan Statistical Area",1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,4,0,0,0,1,0,0,35,35,0.5,0.5,2,2,0.821815222260187,0,0.125452878953218,0.69636234330697,-1.61644789052762,-1.14634321855936,-1.98095113145291,-0.501439316993662,NA,NA,NA,NA,NA,NA
"119","24140","Goldsboro, NC Metropolitan Statistical Area",1,0,0,0,0,0,0,1,1,0,0,0,0,1,2,3,0,1,0,0,0,1,25,25,NA,NA,2,2,2.65271987002846,0,2.22354923927976,0.4291706307487,0.792845857249559,-1.14634321855936,0.774875887133427,-0.789590582414999,2.65271987002846,NA,NA,NA,NA,NA
